customer_id,customer_code,customer_name,region_id,city,channel,tier,created_at
1,C0000001,Customer 1,2,Chennai,Institutional,Bronze,2023-10-05T00:00:00
2,C0000002,Customer 2,4,Ahmedabad,E-Commerce,Bronze,2022-07-11T00:00:00
3,C0000003,Customer 3,3,Kolkata,E-Commerce,Bronze,2024-05-03T00:00:00
4,C0000004,Customer 4,1,Gurgaon,General Trade,Bronze,2024-01-10T00:00:00
5,C0000005,Customer 5,1,Gurgaon,E-Commerce,Bronze,2021-11-20T00:00:00
6,C0000006,Customer 6,3,Patna,Modern Trade,Silver,2021-07-16T00:00:00
7,C0000007,Customer 7,4,Mumbai,Modern Trade,Bronze,2023-07-30T00:00:00
8,C0000008,Customer 8,3,Guwahati,General Trade,Silver,2024-09-04T00:00:00
9,C0000009,Customer 9,3,Kolkata,E-Commerce,Bronze,2021-06-16T00:00:00
10,C0000010,Customer 10,4,Mumbai,Institutional,Silver,2021-08-20T00:00:00
11,C0000011,Customer 11,4,Surat,Modern Trade,Bronze,2022-03-13T00:00:00
12,C0000012,Customer 12,5,Bhopal,General Trade,Bronze,2024-08-17T00:00:00
13,C0000013,Customer 13,5,Indore,General Trade,Silver,2023-11-29T00:00:00
14,C0000014,Customer 14,4,Surat,Institutional,Bronze,2022-06-21T00:00:00
15,C0000015,Customer 15,5,Bhopal,Institutional,Silver,2021-08-10T00:00:00
16,C0000016,Customer 16,4,Pune,General Trade,Silver,2022-04-08T00:00:00
17,C0000017,Customer 17,2,Chennai,E-Commerce,Bronze,2023-04-06T00:00:00
18,C0000018,Customer 18,3,Kolkata,General Trade,Bronze,2021-04-15T00:00:00
19,C0000019,Customer 19,1,Delhi,General Trade,Bronze,2024-03-19T00:00:00
20,C0000020,Customer 20,2,Kochi,General Trade,Bronze,2024-05-07T00:00:00
21,C0000021,Customer 21,2,Hyderabad,Modern Trade,Silver,2024-05-15T00:00:00
22,C0000022,Customer 22,3,Guwahati,Modern Trade,Silver,2022-06-26T00:00:00
23,C0000023,Customer 23,4,Mumbai,General Trade,Silver,2022-12-03T00:00:00
24,C0000024,Customer 24,3,Guwahati,E-Commerce,Bronze,2021-12-28T00:00:00
25,C0000025,Customer 25,5,Nagpur,General Trade,Silver,2022-04-16T00:00:00
26,C0000026,Customer 26,2,Bengaluru,Modern Trade,Bronze,2021-07-16T00:00:00
27,C0000027,Customer 27,4,Surat,E-Commerce,Silver,2022-03-31T00:00:00
28,C0000028,Customer 28,3,Patna,Institutional,Bronze,2021-12-20T00:00:00
29,C0000029,Customer 29,5,Indore,General Trade,Bronze,2024-10-27T00:00:00
30,C0000030,Customer 30,5,Bhopal,E-Commerce,Bronze,2023-08-23T00:00:00
31,C0000031,Customer 31,5,Bhopal,E-Commerce,Bronze,2025-02-07T00:00:00
32,C0000032,Customer 32,5,Nagpur,Modern Trade,Bronze,2024-08-27T00:00:00
33,C0000033,Customer 33,5,Nagpur,E-Commerce,Bronze,2024-04-02T00:00:00
34,C0000034,Customer 34,3,Kolkata,Institutional,Gold,2021-05-02T00:00:00
35,C0000035,Customer 35,1,Noida,E-Commerce,Bronze,2022-12-17T00:00:00
36,C0000036,Customer 36,1,Jaipur,Modern Trade,Bronze,2022-09-04T00:00:00
37,C0000037,Customer 37,2,Kochi,Institutional,Bronze,2023-04-09T00:00:00
38,C0000038,Customer 38,3,Guwahati,Institutional,Silver,2021-06-12T00:00:00
39,C0000039,Customer 39,3,Guwahati,General Trade,Bronze,2024-04-04T00:00:00
40,C0000040,Customer 40,2,Chennai,Institutional,Bronze,2025-02-01T00:00:00
41,C0000041,Customer 41,1,Jaipur,General Trade,Silver,2024-08-27T00:00:00
42,C0000042,Customer 42,5,Indore,General Trade,Silver,2022-08-26T00:00:00
43,C0000043,Customer 43,2,Chennai,Institutional,Bronze,2023-06-29T00:00:00
44,C0000044,Customer 44,3,Patna,Modern Trade,Bronze,2022-06-01T00:00:00
45,C0000045,Customer 45,2,Hyderabad,E-Commerce,Silver,2022-03-21T00:00:00
46,C0000046,Customer 46,4,Ahmedabad,General Trade,Gold,2021-10-20T00:00:00
47,C0000047,Customer 47,5,Bhopal,E-Commerce,Bronze,2024-11-24T00:00:00
48,C0000048,Customer 48,3,Patna,General Trade,Bronze,2024-06-05T00:00:00
49,C0000049,Customer 49,4,Surat,E-Commerce,Silver,2021-10-15T00:00:00
50,C0000050,Customer 50,3,Guwahati,General Trade,Silver,2024-05-02T00:00:00
51,C0000051,Customer 51,4,Ahmedabad,Institutional,Silver,2024-10-01T00:00:00
52,C0000052,Customer 52,4,Surat,Modern Trade,Bronze,2023-10-14T00:00:00
53,C0000053,Customer 53,3,Kolkata,Modern Trade,Silver,2021-12-19T00:00:00
54,C0000054,Customer 54,3,Patna,Modern Trade,Silver,2024-12-17T00:00:00
55,C0000055,Customer 55,2,Kochi,General Trade,Bronze,2022-10-07T00:00:00
56,C0000056,Customer 56,5,Nagpur,E-Commerce,Bronze,2022-01-15T00:00:00
57,C0000057,Customer 57,5,Nagpur,E-Commerce,Silver,2024-03-03T00:00:00
58,C0000058,Customer 58,4,Surat,E-Commerce,Silver,2024-06-06T00:00:00
59,C0000059,Customer 59,1,Delhi,E-Commerce,Bronze,2021-01-07T00:00:00
60,C0000060,Customer 60,5,Nagpur,Modern Trade,Gold,2025-01-31T00:00:00
61,C0000061,Customer 61,4,Mumbai,General Trade,Bronze,2021-11-08T00:00:00
62,C0000062,Customer 62,4,Mumbai,E-Commerce,Gold,2024-04-29T00:00:00
63,C0000063,Customer 63,4,Pune,General Trade,Bronze,2022-08-16T00:00:00
64,C0000064,Customer 64,2,Hyderabad,General Trade,Silver,2022-07-12T00:00:00
65,C0000065,Customer 65,1,Gurgaon,General Trade,Bronze,2021-10-21T00:00:00
66,C0000066,Customer 66,3,Kolkata,Modern Trade,Bronze,2022-12-21T00:00:00
67,C0000067,Customer 67,5,Nagpur,E-Commerce,Bronze,2023-08-22T00:00:00
68,C0000068,Customer 68,5,Nagpur,General Trade,Bronze,2025-01-14T00:00:00
